,NAME,CITY,SALARY,EDUCATION,AGE,MARITAL_STATUS,YEAR
386,Emad Mustafa,Kafr El Sheikh,117835.0,Arts,22,Widowed,2019
387,Mervat Mahmoud,Zagazig,43518.0,Public Relations and Advertising,30,Widowed,2019
388,Tamer Fouad,Zagazig,60881.0,Education,25,Single,2019
389,Laila El-Sayed,Ismailia,63906.0,Education,22,Single,2019
390,Hoda Ramadan,Ismailia,110634.0,Science,27,Single,2019
391,Khaled Khalid,Shubra El Kheima,136405.0,Civil Aviation,55,Married,2019
392,Nour Abdelaziz,Shubra El Kheima,58086.0,Science,39,Widowed,2019
393,Nagla Ramadan,Zagazig,143921.0,Architecture,40,Widowed,2019
394,Hoda Ragab,Asyut,52974.0,Economics and Political Science,42,Single,2019
395,Tamer Youssef,Damietta,128092.0,Education,52,Married,2019
396,Walid Abdelhak,Luxor,67233.0,Agriculture,40,Widowed,2019
397,Asmaa Hassanein,Mansoura,20722.0,Civil Aviation,49,Single,2019
398,Nour Mansour,Aswan,31412.0,Computer Science and Information Technology,35,Married,2019
399,Laila Saber,Damietta,89115.0,Public Relations and Advertising,39,Single,2019
400,Ali Mahmoudi,Aswan,113629.0,Applied Sciences,52,Single,2019
401,Mohsen Osman,Sohag,101222.0,Education,24,Married,2019
402,Kamal El-Bakry,Shubra El Kheima,92922.73140857393,Public Relations and Advertising,29,Divorced,2019
403,Hoda Ahmed,Qena,92922.73140857393,Public Relations and Advertising,50,Divorced,2019
404,Hoda Ragab,Giza,50534.0,Science,49,Married,2019
405,Hany Saad,Luxor,52419.0,Architecture,23,Married,2019
406,Yasser Mustafa,Shubra El Kheima,8758.0,Applied Sciences,24,Single,2019
407,Wafaa Zaki,Ismailia,2861.0,Architecture,42,Single,2019
408,Tamer Ramadan,Tanta,13823.0,Medicine,53,Married,2019
409,Mohsen Fawzy,Kafr El Sheikh,120688.0,Computer Science and Information Technology,23,Widowed,2019
410,Maher Ibrahim,Zagazig,64173.0,Architecture,33,Single,2019
411,Reem Hassanein,Port Said,92922.73140857393,Public Relations and Advertising,58,Divorced,2019
412,Eman Fouad,Port Said,144488.0,Education,49,Single,2019
413,Hassan Fawzy,Qena,39329.0,Agriculture,43,Married,2019
414,Hassan Fouad,Aswan,80797.0,Architecture,48,Married,2019
415,Walid Nour,Luxor,7511100.0,Commerce,41,Widowed,2019
416,Salma El-Bakry,Damietta,92922.73140857393,Civil Aviation,31,Divorced,2019
417,Yasser El-Din,Damietta,65743.0,Environmental Agriculture,50,Married,2019
418,Tamer El-Gabry,Luxor,115837.0,Environmental Agriculture,22,Single,2019
419,Laila Ramadan,Aswan,92922.73140857393,Computer Science and Information Technology,49,Divorced,2019
420,Kamal Gamal,Kafr El Sheikh,38741.0,Applied Sciences,23,Widowed,2019
421,Walid El-Gabry,Aswan,71328.0,Arts,45,Married,2019
422,Walid Ali,Sohag,78957.0,Agriculture,39,Widowed,2019
423,Fatma Ahmed,Assiut,128563.0,Tourism Studies,26,Married,2019
424,Mohsen Zaki,Suez,149488.0,Arts,27,Married,2019
425,Emad El-Din,Cairo,97956.0,Environmental Agriculture,23,Single,2019
426,Rania El-Din,Asyut,92922.73140857393,Commerce,55,Divorced,2019
427,Wafaa Youssef,Sohag,92922.73140857393,Nursing,36,Divorced,2019
428,Hend Amin,Ismailia,107001.0,Arts,38,Married,2019
429,Sara Soltan,Ismailia,132938.0,Arts,50,Single,2019
430,Adel Amin,Mansoura,92922.73140857393,Arts,54,Divorced,2019
431,Adham Salem,Zagazig,14957.0,Public Relations and Advertising,29,Widowed,2019
432,Rania Khalid,Assiut,90538.0,Economics and Political Science,40,Married,2019
433,Mamdouh El-Sayed,Suez,32595.0,Applied Sciences,53,Married,2019
434,Nadia Soltan,Cairo,17607.0,Education,48,Widowed,2019
435,Sherif Sami,Minya,92922.73140857393,Commerce,53,Divorced,2019
436,Emad Saad,Port Said,62816.0,Pharmacy,26,Single,2019
437,Wafaa Youssef,Kafr El Sheikh,92922.73140857393,Arts,50,Divorced,2019
438,Adel Mohsen,Cairo,74662.0,Architecture,32,Single,2019
439,Nermine Soltan,Assiut,3850.0,Architecture,46,Married,2019
440,Ali Saad,Aswan,49463.0,Medicine,56,Single,2019
441,Yasmin Ali,Ismailia,92922.73140857393,Commerce,50,Divorced,2019
442,Amir Gamal,Port Said,139068.0,Fine Arts,26,Widowed,2019
443,Samir Hassanein,Giza,119981.0,Environmental Agriculture,50,Widowed,2019
444,Mariam Salah,Minya,5771.0,Agriculture,21,Married,2019
445,Magdy Hassan,Alexandria,105230.0,Engineering,28,Widowed,2019
446,Reem Ibrahim,Tanta,2015.0,Science,35,Married,2019
447,Mervat Fawzy,Kafr El Sheikh,110536.0,Computer Science and Information Technology,42,Married,2019
448,Samir Nour,Asyut,141305.0,Law,46,Married,2019
449,Omar Fahmy,Kafr El Sheikh,23791.0,Applied Sciences,44,Married,2019
450,Salma Saad,Zagazig,92922.73140857393,Computer Science and Information Technology,21,Divorced,2019
451,Walid Khalid,Suez,20059.0,Civil Aviation,33,Married,2019
452,Mohsen Saad,Luxor,47129.0,Agriculture,27,Married,2019
453,Amir Fawzy,Giza,116903.0,Science,48,Single,2019
454,Omar Nasr,Aswan,92922.73140857393,Education,58,Divorced,2019
455,Khaled Ragab,Assiut,92922.73140857393,Agriculture,40,Divorced,2019
456,Laila Zaki,Kafr El Sheikh,98828.0,Computer Science and Information Technology,21,Married,2019
457,Hany El-Gabry,Mansoura,142921.0,Economics and Political Science,41,Widowed,2019
458,Omar Nasr,Tanta,90196.0,Computer Science and Information Technology,53,Widowed,2019
459,Nadia El-Khouly,Beni Suef,74759.0,Civil Aviation,58,Single,2019
460,Mamdouh Mustafa,Sohag,116903.0,Medicine,37,Single,2019
461,Rania El-Khouly,Giza,143701.0,Applied Sciences,39,Married,2019
462,Khaled Khalid,Alexandria,37714.0,Science,24,Widowed,2019
463,Reem Ezzat,Damietta,57910.0,Psychology,30,Widowed,2019
464,Hanan Adel,Aswan,42661.0,Public Relations and Advertising,22,Widowed,2019
465,Mona El-Sayed,Beni Suef,141151.0,Engineering,21,Widowed,2019
466,Emad Moharram,Tanta,10486.0,Economics and Political Science,56,Single,2019
467,Soha Fathy,Beni Suef,33880.0,Education,37,Widowed,2019
468,Nermine Fahmy,Qena,77130.0,Nursing,54,Married,2019
469,Samir Khalid,Luxor,49744.0,Psychology,28,Married,2019
470,Tamer Salem,Assiut,86460.0,Environmental Agriculture,48,Married,2019
471,Hanan Abdelaziz,Port Said,26379.0,Law,33,Married,2019
472,Kamal Fawzy,Asyut,42396.0,Public Relations and Advertising,47,Married,2019
473,Mona Saad,Shubra El Kheima,133900.0,Science,47,Married,2019
474,Wafaa Abdelaziz,Cairo,80462.0,Nursing,54,Married,2019
475,Walid Mahmoud,Port Said,72394.0,Public Relations and Advertising,27,Married,2019
476,Magdy Zaki,Ismailia,110793.0,Law,31,Single,2019
477,Mohsen Hassan,Minya,111395.0,Nursing,36,Married,2019
478,Mohamed Salah,Cairo,42768.0,Engineering,23,Married,2019
479,Hoda Mahmoud,Mansoura,105811.0,Education,52,Married,2019
480,Emad El-Khouly,Giza,41417.0,Agriculture,29,Married,2019
481,Marwa Emam,Tanta,92922.73140857393,Education,26,Divorced,2019
482,Wafaa Adel,Giza,86307.0,Economics and Political Science,47,Widowed,2019
483,Hend Salah,Alexandria,66655.0,Education,51,Married,2019
484,Nour Nour,Alexandria,92922.73140857393,Public Relations and Advertising,43,Divorced,2019
485,Omar Sami,Alexandria,89711.0,Architecture,26,Widowed,2019
486,Youssef Abdullah,Suez,29665.0,Tourism Studies,35,Single,2019
487,Youssef Fahmy,Tanta,105465.0,Environmental Agriculture,29,Widowed,2019
488,Mariam Ahmed,Aswan,92922.73140857393,Economics and Political Science,53,Divorced,2019
489,Magdy Hassanein,Asyut,114613.0,Commerce,35,Married,2019
490,Mamdouh Osman,Tanta,144256.0,Civil Aviation,56,Widowed,2019
491,Mamdouh Abdelhak,Tanta,38168.0,Medicine,28,Widowed,2019
492,Sherif El-Gabry,Sohag,21451.0,Commerce,39,Single,2019
493,Rania Salah,Port Said,51656.0,Education,60,Single,2019
494,Yasser Zaki,Beni Suef,65300.0,Environmental Agriculture,46,Widowed,2019
495,Khaled Zaki,Tanta,85118.0,Education,54,Widowed,2019
496,Magdy Mohsen,Zagazig,43722.0,Nursing,42,Single,2019
497,Amir El-Din,Zagazig,92922.73140857393,Pharmacy,60,Divorced,2019
498,Wafaa Mansour,Qena,58724.0,Medicine,60,Married,2019
499,Khaled El-Sayed,Beni Suef,79181.0,Arts,24,Single,2019
500,Mamdouh El-Sayed,Giza,123994.0,Tourism Studies,53,Single,2019
501,Hanan Fathy,Minya,32261.0,Fine Arts,51,Single,2019
502,Sherif Saeed,Cairo,115003.0,Commerce,59,Married,2019
503,Hassan Adel,Tanta,110068.0,Science,31,Married,2019
504,Samir Salah,Mansoura,143686.0,Architecture,33,Single,2019
505,Tamer El-Gabry,Beni Suef,92922.73140857393,Environmental Agriculture,60,Divorced,2019
506,Maher Khalid,Damietta,2451.0,Engineering,21,Single,2019
507,Laila Nour,Aswan,16857.0,Public Relations and Advertising,58,Single,2019
508,Mervat El-Sayed,Port Said,69902.0,Medicine,34,Married,2019
509,Ahmed Moharram,Tanta,92922.73140857393,Applied Sciences,35,Divorced,2019
510,Yasser Mansour,Cairo,101697.0,Public Relations and Advertising,22,Widowed,2019
511,Khaled Saad,Shubra El Kheima,3416.0,Science,33,Single,2019
512,Mamdouh Mohsen,Sohag,104096.0,Arts,59,Widowed,2019
513,Reem Emam,Qena,30479.0,Computer Science and Information Technology,47,Widowed,2020
514,Rania Fawzy,Shubra El Kheima,89334.0,Law,29,Widowed,2020
515,Adel Abdelaziz,Alexandria,92922.73140857393,Economics and Political Science,28,Divorced,2020
516,Nour Salah,Kafr El Sheikh,2546.0,Economics and Political Science,57,Married,2020
517,Hoda Mohsen,Suez,36271.0,Economics and Political Science,31,Single,2020
518,Mervat Ragab,Suez,93252.0,Nursing,57,Widowed,2020
519,Nagla Saad,Ismailia,92922.73140857393,Engineering,58,Divorced,2020
520,Maher Sami,Ismailia,92922.73140857393,Arts,44,Divorced,2020
521,Yasser Salah,Asyut,112769.0,Applied Sciences,21,Single,2020
522,Eman Fahmy,Port Said,146605.0,Agriculture,56,Widowed,2020
523,Yasmin Fathy,Zagazig,92922.73140857393,Pharmacy,47,Divorced,2020
524,Salma Fathy,Sohag,37537.0,Environmental Agriculture,22,Single,2020
525,Mohsen Emam,Beni Suef,92922.73140857393,Fine Arts,25,Divorced,2020
526,Hany Saeed,Cairo,57849.0,Pharmacy,40,Single,2020
527,Magdy Fahmy,Mansoura,92922.73140857393,Tourism Studies,50,Divorced,2020
528,Adel Mahmoud,Luxor,92922.73140857393,Medicine,39,Divorced,2020
529,Wafaa El-Khouly,Assiut,59078.0,Commerce,42,Single,2020
530,Nagla Soltan,Port Said,53268.0,Fine Arts,24,Married,2020
531,Wafaa Mustafa,Port Said,22783.0,Economics and Political Science,44,Widowed,2020
532,Hoda Zaki,Cairo,39507.0,Tourism Studies,30,Married,2020
533,Magdy Sami,Assiut,92922.73140857393,Public Relations and Advertising,45,Divorced,2020
534,Marwa Nour,Assiut,28492.0,Psychology,24,Widowed,2020
535,Eman Mohammed,Shubra El Kheima,143542.0,Nursing,23,Widowed,2020
536,Mohsen Moharram,Sohag,12545.0,Public Relations and Advertising,25,Widowed,2020
537,Nadia Nour,Qena,21530.0,Medicine,53,Widowed,2020
538,Yasser Nour,Mansoura,92922.73140857393,Psychology,54,Divorced,2020
539,Hend Ibrahim,Asyut,92922.73140857393,Tourism Studies,25,Divorced,2020
540,Reem Ali,Port Said,92922.73140857393,Applied Sciences,27,Divorced,2020
541,Nermine Mohsen,Port Said,34469.0,Nursing,28,Widowed,2020
542,Tamer Nasr,Port Said,57681.0,Nursing,29,Widowed,2020
543,Mona Mahmoudi,Qena,81618.0,Science,42,Single,2020
544,Marwa Fathy,Luxor,115130.0,Tourism Studies,27,Married,2020
545,Nour Ahmed,Zagazig,33842.0,Civil Aviation,44,Widowed,2020
546,Emad El-Gabry,Cairo,66832.0,Law,22,Widowed,2020
547,Yasser El-Bakry,Assiut,92922.73140857393,Nursing,42,Divorced,2020
548,Amir El-Khouly,Suez,23549.0,Agriculture,60,Widowed,2020
549,Sherif Sami,Assiut,9118.0,Tourism Studies,47,Single,2020
550,Nagla Khalid,Alexandria,109608.0,Fine Arts,36,Single,2020
551,Mervat Hassan,Qena,76689.0,Science,27,Married,2020
552,Asmaa Ahmed,Mansoura,92922.73140857393,Education,31,Divorced,2020
553,Adham El-Sayed,Giza,92922.73140857393,Science,54,Divorced,2020
554,Wafaa Abdullah,Asyut,92922.73140857393,Commerce,55,Divorced,2020
555,Samir Saeed,Mansoura,102923.0,Law,56,Married,2020
556,Sherif Mahmoud,Zagazig,86146.0,Fine Arts,49,Widowed,2020
557,Amir Ezzat,Sohag,20468.0,Civil Aviation,46,Single,2020
558,Adel El-Gabry,Asyut,109403.0,Civil Aviation,50,Widowed,2020
559,Emad Adel,Giza,92922.73140857393,Economics and Political Science,41,Divorced,2020
560,Hassan Moharram,Suez,89249.0,Civil Aviation,44,Widowed,2020
561,Mohsen Amin,Ismailia,92922.73140857393,Tourism Studies,21,Divorced,2020
562,Mohamed Mohammed,Damietta,70156.0,Nursing,27,Single,2020
563,Mervat El-Sayed,Port Said,92922.73140857393,Commerce,51,Divorced,2020
564,Sara Youssef,Tanta,90648.0,Nursing,27,Single,2020
565,Khaled El-Gabry,Asyut,43429.0,Psychology,57,Single,2020
566,Nour Ramadan,Ismailia,92922.73140857393,Economics and Political Science,48,Divorced,2020
567,Mariam Salah,Damietta,97791.0,Fine Arts,42,Married,2020
568,Sara Hassanein,Kafr El Sheikh,10324.0,Arts,26,Widowed,2020
569,Eman Mohammed,Tanta,92922.73140857393,Architecture,24,Divorced,2020
570,Laila Osman,Qena,14625.0,Science,56,Single,2020
571,Laila Salem,Giza,123698.0,Engineering,46,Married,2020
572,Tamer Hassan,Shubra El Kheima,117707.0,Tourism Studies,22,Single,2020
573,Nermine Abdullah,Assiut,92922.73140857393,Arts,23,Divorced,2020
574,Walid Gamal,Minya,65531.0,Computer Science and Information Technology,44,Married,2020
575,Sara Ahmed,Asyut,65541.0,Science,51,Widowed,2020
576,Samir Ramadan,Assiut,53364.0,Pharmacy,33,Single,2020
577,Mohsen Mahmoudi,Beni Suef,56311.0,Architecture,36,Single,2020
578,Soha Mahmoudi,Tanta,28675.0,Arts,32,Widowed,2020
579,Nagla Ramadan,Beni Suef,46204.0,Computer Science and Information Technology,36,Married,2020
580,Wafaa Fahmy,Damietta,129903.0,Fine Arts,36,Single,2020
581,Omar Abdelaziz,Aswan,28000.0,Arts,38,Single,2020
582,Ahmed Sami,Aswan,17953.0,Civil Aviation,54,Single,2020
583,Fatma Abdelhak,Qena,91594.0,Nursing,59,Widowed,2020
584,Khaled Ramadan,Zagazig,23669.0,Architecture,30,Married,2020
585,Hoda Ezzat,Minya,92922.73140857393,Psychology,39,Divorced,2020
586,Mohsen El-Bakry,Beni Suef,92922.73140857393,Architecture,54,Divorced,2020
587,Mervat Ramadan,Sohag,144567.0,Fine Arts,43,Single,2020
588,Reem Youssef,Aswan,92922.73140857393,Applied Sciences,48,Divorced,2020
589,Emad Mahmoudi,Shubra El Kheima,92922.73140857393,Nursing,43,Divorced,2020
590,Nour Nasr,Qena,149618.0,Public Relations and Advertising,33,Married,2020
591,Maher Nasr,Asyut,140321.0,Pharmacy,21,Married,2020
592,Wafaa Mahmoudi,Cairo,117885.0,Public Relations and Advertising,54,Single,2020
593,Amir Fawzy,Zagazig,22484.0,Fine Arts,49,Widowed,2020
594,Emad Zaki,Beni Suef,14090.0,Nursing,54,Married,2020
595,Youssef El-Bakry,Port Said,143224.0,Nursing,47,Single,2020
596,Nermine Salah,Sohag,22972.0,Science,32,Married,2020
597,Yasmin El-Gabry,Asyut,7957.0,Psychology,54,Widowed,2020
598,Omar Hassanein,Luxor,92922.73140857393,Commerce,46,Divorced,2020
599,Hassan Fahmy,Kafr El Sheikh,140496.0,Civil Aviation,48,Single,2020
600,Mona Saeed,Zagazig,36840.0,Agriculture,43,Single,2020
601,Adel Mahmoudi,Tanta,92922.73140857393,Public Relations and Advertising,33,Divorced,2020
602,Ashraf Ibrahim,Zagazig,22691.0,Applied Sciences,42,Married,2020
603,Amir Mahmoud,Assiut,26435.0,Applied Sciences,60,Widowed,2020
604,Hoda Ezzat,Ismailia,92922.73140857393,Tourism Studies,35,Divorced,2020
605,Laila El-Gabry,Aswan,105866.0,Public Relations and Advertising,59,Single,2020
606,Sherif Hassanein,Shubra El Kheima,92922.73140857393,Engineering,31,Divorced,2020
607,Omar Khalid,Ismailia,69478.0,Commerce,36,Single,2020
608,Ali El-Khouly,Beni Suef,86797.0,Computer Science and Information Technology,55,Single,2020
609,Ahmed Ragab,Luxor,109132.0,Public Relations and Advertising,60,Widowed,2020
610,Rania Khalid,Luxor,137194.0,Architecture,42,Widowed,2020
611,Nagla Ragab,Minya,148459.0,Applied Sciences,42,Widowed,2020
612,Yasmin Mustafa,Port Said,36512.0,Architecture,33,Widowed,2020
613,Soha Khalid,Mansoura,92922.73140857393,Engineering,21,Divorced,2020
614,Asmaa Salem,Giza,30602.0,Law,54,Single,2020
615,Hassan Sami,Zagazig,92922.73140857393,Commerce,27,Divorced,2020
616,Laila Ahmed,Tanta,59748.0,Tourism Studies,56,Widowed,2020
617,Mohamed Ramadan,Giza,141927.0,Economics and Political Science,56,Married,2020
618,Laila Khalid,Giza,50589.0,Psychology,35,Widowed,2020
619,Wafaa Ibrahim,Beni Suef,47963.0,Pharmacy,48,Single,2020
620,Rania Ibrahim,Beni Suef,102192.0,Fine Arts,52,Married,2020
621,Samir Ali,Luxor,92922.73140857393,Computer Science and Information Technology,36,Divorced,2020
622,Hany Mahmoudi,Luxor,67082.0,Nursing,28,Married,2020
623,Salma Osman,Damietta,92922.73140857393,Tourism Studies,29,Divorced,2020
624,Adel El-Khouly,Beni Suef,124560.0,Public Relations and Advertising,51,Single,2020
625,Yasmin El-Sayed,Qena,71093.0,Education,58,Married,2020
626,Hoda El-Gabry,Asyut,92922.73140857393,Law,21,Divorced,2020
627,Ashraf Mustafa,Assiut,98851.0,Environmental Agriculture,35,Married,2020
628,Hassan El-Gabry,Asyut,140174.0,Education,53,Widowed,2020
629,Mohamed Mahmoudi,Minya,88517.0,Computer Science and Information Technology,49,Widowed,2020
630,Hassan Fawzy,Kafr El Sheikh,86036.0,Architecture,30,Single,2020
631,Mohsen Zaki,Aswan,17565.0,Agriculture,42,Single,2020
632,Mamdouh Sami,Zagazig,5741.0,Fine Arts,32,Married,2020
633,Rania Gamal,Alexandria,76747.0,Architecture,54,Married,2020
634,Khaled El-Khouly,Alexandria,123502.0,Computer Science and Information Technology,32,Married,2020
635,Eman Mohsen,Zagazig,42058.0,Economics and Political Science,30,Married,2020
636,Omar Mansour,Assiut,92922.73140857393,Arts,56,Divorced,2020
637,Mervat Amin,Qena,145886.0,Civil Aviation,52,Single,2020
638,Fatma Hassan,Aswan,92922.73140857393,Tourism Studies,43,Divorced,2020
639,Salma Ibrahim,Kafr El Sheikh,21195.0,Environmental Agriculture,41,Single,2020
640,Mervat Mohsen,Kafr El Sheikh,144583.0,Medicine,34,Single,2020
641,Khaled Emam,Suez,16516.0,Fine Arts,55,Married,2020
642,Omar Sami,Beni Suef,12049.0,Agriculture,51,Married,2020
643,Mariam Fouad,Aswan,37237.0,Fine Arts,59,Married,2020
644,Ahmed El-Din,Tanta,92922.73140857393,Environmental Agriculture,54,Divorced,2020
645,Mariam El-Sayed,Luxor,140274.0,Fine Arts,58,Single,2020
646,Mona Ezzat,Assiut,94008.0,Fine Arts,50,Widowed,2020
647,Hanan Youssef,Kafr El Sheikh,116112.0,Tourism Studies,44,Widowed,2020
648,Samir Khalid,Zagazig,118282.0,Public Relations and Advertising,51,Single,2020
649,Youssef Saad,Tanta,92922.73140857393,Arts,23,Divorced,2020
650,Hend Salah,Qena,143674.0,Applied Sciences,25,Widowed,2020
651,Mohsen Mahmoudi,Sohag,138122.0,Environmental Agriculture,34,Single,2020
652,Marwa Hassan,Shubra El Kheima,92922.73140857393,Economics and Political Science,53,Divorced,2020
653,Nour Osman,Ismailia,92922.73140857393,Pharmacy,33,Divorced,2020
654,Mona Moharram,Suez,88871.0,Nursing,38,Single,2020
655,Hoda Mansour,Assiut,50817.0,Fine Arts,28,Single,2020
656,Tamer Amin,Damietta,33409.0,Medicine,58,Single,2020
657,Sherif El-Bakry,Alexandria,92922.73140857393,Environmental Agriculture,59,Divorced,2020
658,Hend Saeed,Mansoura,41057.0,Arts,31,Widowed,2020
659,Hend Mohsen,Asyut,111658.0,Science,48,Widowed,2020
660,Mervat Fouad,Giza,24946.0,Civil Aviation,38,Widowed,2020
661,Nour Abdelaziz,Ismailia,75188.0,Public Relations and Advertising,51,Single,2020
662,Yasser Fathy,Suez,92922.73140857393,Pharmacy,55,Divorced,2020
663,Hany Youssef,Assiut,102211.0,Engineering,38,Widowed,2020
664,Mona Salah,Damietta,132312.0,Fine Arts,49,Married,2020
665,Tamer Ahmed,Port Said,92922.73140857393,Public Relations and Advertising,53,Divorced,2020
666,Yasser Moharram,Beni Suef,15203.0,Computer Science and Information Technology,31,Married,2020
667,Khaled Fouad,Minya,24822.0,Public Relations and Advertising,52,Widowed,2020
668,Hend Sami,Qena,142392.0,Pharmacy,27,Widowed,2020
669,Mohsen Ramadan,Zagazig,119063.0,Psychology,42,Single,2020
670,Hoda Abdullah,Zagazig,144653.0,Commerce,47,Widowed,2020
671,Emad Nasr,Mansoura,45954.0,Psychology,38,Widowed,2020
672,Walid Mansour,Shubra El Kheima,92922.73140857393,Agriculture,58,Divorced,2020
673,Mariam Mansour,Suez,78331.0,Agriculture,45,Widowed,2020
674,Youssef El-Bakry,Qena,44743.0,Agriculture,54,Married,2020
675,Youssef Soltan,Tanta,92922.73140857393,Education,23,Divorced,2020
676,Nagla Abdullah,Aswan,26813.0,Law,51,Married,2020
677,Ahmed Nour,Suez,76738.0,Agriculture,28,Married,2020
678,Hanan Abdelaziz,Asyut,36797.0,Pharmacy,41,Married,2020
679,Tamer Sami,Asyut,92922.73140857393,Economics and Political Science,57,Divorced,2020
680,Asmaa Nour,Giza,93115.0,Commerce,35,Married,2020
681,Reem Youssef,Giza,92922.73140857393,Economics and Political Science,49,Divorced,2020
682,Kamal Mustafa,Beni Suef,76910.0,Civil Aviation,36,Widowed,2020
683,Omar El-Sayed,Minya,59776.0,Medicine,58,Married,2020
684,Nour Mahmoud,Mansoura,59373.0,Medicine,50,Widowed,2020
685,Yasmin Fouad,Sohag,137508.0,Education,25,Married,2020
686,Walid Saber,Cairo,92922.73140857393,Medicine,53,Divorced,2020
687,Asmaa Fouad,Luxor,25381.0,Nursing,43,Widowed,2020
688,Mona Soltan,Giza,104949.0,Computer Science and Information Technology,47,Widowed,2020
689,Ahmed Fouad,Zagazig,92922.73140857393,Education,48,Divorced,2020
690,Mohamed Fahmy,Cairo,56506.0,Architecture,46,Widowed,2020
691,Yasser Moharram,Suez,4667.0,Fine Arts,49,Married,2020
692,Hanan Salem,Damietta,75514.0,Fine Arts,54,Single,2020
693,Sherif Ahmed,Assiut,92922.73140857393,Public Relations and Advertising,58,Divorced,2020
694,Hend Saeed,Mansoura,92922.73140857393,Commerce,55,Divorced,2020
695,Nadia Nasr,Luxor,108049.0,Applied Sciences,36,Single,2020
696,Nermine Mohammed,Mansoura,130006.0,Arts,41,Married,2020
697,Nour Mahmoud,Asyut,13401.0,Fine Arts,21,Widowed,2020
698,Reem Salem,Kafr El Sheikh,114946.0,Commerce,28,Widowed,2020
699,Yasser Fouad,Qena,92922.73140857393,Education,55,Divorced,2020
700,Mohamed Moharram,Assiut,101784.0,Science,22,Single,2020
701,Hanan Ali,Tanta,133752.0,Medicine,32,Married,2020
702,Mohsen Fahmy,Sohag,92922.73140857393,Agriculture,26,Divorced,2020
703,Ali El-Bakry,Zagazig,101547.0,Commerce,29,Single,2020
704,Ali Nasr,Alexandria,78687.0,Public Relations and Advertising,24,Single,2020
705,Walid Nour,Giza,86569.0,Engineering,48,Married,2020
706,Khaled Khalid,Ismailia,92922.73140857393,Architecture,42,Divorced,2020
707,Salma Nour,Qena,116945.0,Arts,35,Married,2020
708,Omar Zaki,Cairo,77187.0,Science,47,Married,2020
709,Mohamed El-Din,Mansoura,23326.0,Engineering,41,Single,2020
710,Kamal Saber,Mansoura,110393.0,Economics and Political Science,50,Widowed,2020
711,Yasser Ezzat,Beni Suef,101286.0,Pharmacy,57,Single,2020
712,Sara Gamal,Sohag,135305.0,Civil Aviation,47,Widowed,2020
713,Adel Sami,Mansoura,119081.0,Law,40,Single,2020
714,Adel El-Gabry,Giza,140623.0,Law,27,Widowed,2020
715,Reem Sami,Aswan,83505.0,Environmental Agriculture,24,Widowed,2020
716,Soha Saeed,Port Said,88552.0,Psychology,33,Widowed,2020
717,Hany Soltan,Shubra El Kheima,88295.0,Nursing,25,Single,2020
718,Eman Mustafa,Shubra El Kheima,92922.73140857393,Computer Science and Information Technology,41,Divorced,2020
719,Salma Ibrahim,Shubra El Kheima,9126.0,Agriculture,36,Married,2020
720,Wafaa Fahmy,Port Said,92922.73140857393,Computer Science and Information Technology,31,Divorced,2020
721,Khaled Fawzy,Giza,92922.73140857393,Civil Aviation,54,Divorced,2020
722,Yasmin Ramadan,Giza,148810.0,Tourism Studies,24,Married,2020
723,Marwa Abdullah,Mansoura,137300.0,Economics and Political Science,41,Widowed,2020
724,Mervat Fathy,Alexandria,87810.0,Medicine,24,Married,2020
725,Adel El-Din,Beni Suef,101144.0,Applied Sciences,40,Widowed,2020
726,Marwa Ibrahim,Alexandria,18320.0,Civil Aviation,59,Married,2020
727,Hend El-Khouly,Luxor,56817.0,Commerce,21,Widowed,2020
728,Rania Ragab,Aswan,92922.73140857393,Computer Science and Information Technology,57,Divorced,2020
729,Hend Mustafa,Luxor,92922.73140857393,Arts,54,Divorced,2020
730,Hassan Fawzy,Mansoura,92922.73140857393,Economics and Political Science,55,Divorced,2020
731,Mervat Ali,Cairo,92922.73140857393,Arts,25,Divorced,2020
732,Omar Youssef,Suez,128909.0,Tourism Studies,42,Single,2020
733,Adham Saber,Luxor,46445.0,Psychology,56,Single,2020
734,Nadia Saeed,Asyut,114628.0,Architecture,58,Single,2020
735,Adham Saad,Alexandria,92922.73140857393,Computer Science and Information Technology,30,Divorced,2020
736,Omar Nour,Damietta,135315.0,Commerce,34,Married,2020
737,Ali Fahmy,Minya,43270.0,Pharmacy,39,Single,2020
738,Mervat Fathy,Asyut,68948.0,Architecture,57,Married,2020
739,Omar Abdullah,Alexandria,122418.0,Applied Sciences,21,Widowed,2020
740,Marwa Hassan,Sohag,35687.0,Nursing,48,Single,2020
741,Wafaa Hassan,Assiut,92922.73140857393,Engineering,36,Divorced,2020
742,Youssef Ibrahim,Asyut,6893.0,Environmental Agriculture,51,Widowed,2020
743,Laila Gamal,Qena,7092.0,Applied Sciences,53,Widowed,2020
744,Hanan El-Din,Shubra El Kheima,145288.0,Science,60,Married,2020
745,Ashraf Osman,Zagazig,92922.73140857393,Arts,21,Divorced,2020
746,Ali Osman,Damietta,92922.73140857393,Arts,35,Divorced,2020
747,Khaled Mostafa,Kafr El Sheikh,40076.0,Education,37,Single,2020
748,Adel El-Khouly,Alexandria,97650.0,Psychology,43,Single,2020
749,Mariam Adel,Cairo,75358.0,Nursing,31,Married,2020
750,Emad Fathy,Shubra El Kheima,92922.73140857393,Fine Arts,39,Divorced,2020
