name,city,salary,education,age,socialtype,year
Hend Amin,Ismailia,107001,Arts,38,Married,2019
Sara Soltan,Ismailia,132938,Arts,50,Single,2019
Adel Amin,Mansoura,,Arts,54,Divorced,2019
Adham Salem,Zagazig,14957,Public Relations and Advertising,29,Widowed,2019
Rania Khalid,Assiut,90538,Economics and Political Science,40,Married,2019
Mamdouh El-Sayed,Suez,32595,Applied Sciences,53,Married,2019
Nadia Soltan,Cairo,17607,Education,48,Widowed,2019
Sherif Sami,Minya,,Commerce,53,Divorced,2019
Emad Saad,Port Said,62816,Pharmacy,26,Single,2019
Wafaa Youssef,Kafr El Sheikh,,Arts,50,Divorced,2019
Adel Mohsen,Cairo,74662,Architecture,32,Single,2019
Nermine Soltan,Assiut,3850,Architecture,46,Married,2019
Ali Saad,Aswan,49463,Medicine,56,Single,2019
Yasmin Ali,Ismailia,,Commerce,50,Divorced,2019
Amir Gamal,Port Said,139068,Fine Arts,26,Widowed,2019
Samir Hassanein,Giza,119981,Environmental Agriculture,50,Widowed,2019
Mariam Salah,Minya,5771,Agriculture,21,Married,2019
Magdy Hassan,Alexandria,105230,Engineering,28,Widowed,2019
Reem Ibrahim,Tanta,2015,Science,35,Married,2019
Mervat Fawzy,Kafr El Sheikh,110536,Computer Science and Information Technology,42,Married,2019
Samir Nour,Asyut,141305,Law,46,Married,2019
Omar Fahmy,Kafr El Sheikh,23791,Applied Sciences,44,Married,2019
Salma Saad,Zagazig,,Computer Science and Information Technology,21,Divorced,2019
Walid Khalid,Suez,20059,Civil Aviation,33,Married,2019
Mohsen Saad,Luxor,47129,Agriculture,27,Married,2019
Amir Fawzy,Giza,116903,Science,48,Single,2019
Omar Nasr,Aswan,,Education,58,Divorced,2019
Khaled Ragab,Assiut,,Agriculture,40,Divorced,2019
Laila Zaki,Kafr El Sheikh,98828,Computer Science and Information Technology,21,Married,2019
Hany El-Gabry,Mansoura,142921,Economics and Political Science,41,Widowed,2019
Omar Nasr,Tanta,90196,Computer Science and Information Technology,53,Widowed,2019
Nadia El-Khouly,Beni Suef,74759,Civil Aviation,58,Single,2019
Mamdouh Mustafa,Sohag,116903,Medicine,37,Single,2019
Rania El-Khouly,Giza,143701,Applied Sciences,39,Married,2019
Khaled Khalid,Alexandria,37714,Science,24,Widowed,2019
Reem Ezzat,Damietta,57910,Psychology,30,Widowed,2019
Hanan Adel,Aswan,42661,Public Relations and Advertising,22,Widowed,2019
Mona El-Sayed,Beni Suef,141151,Engineering,21,Widowed,2019
Emad Moharram,Tanta,10486,Economics and Political Science,56,Single,2019
Soha Fathy,Beni Suef,33880,Education,37,Widowed,2019
Nermine Fahmy,Qena,77130,Nursing,54,Married,2019
Samir Khalid,Luxor,49744,Psychology,28,Married,2019
Tamer Salem,Assiut,86460,Environmental Agriculture,48,Married,2019
Hanan Abdelaziz,Port Said,26379,Law,33,Married,2019
Kamal Fawzy,Asyut,42396,Public Relations and Advertising,47,Married,2019
Mona Saad,Shubra El Kheima,133900,Science,47,Married,2019
Wafaa Abdelaziz,Cairo,80462,Nursing,54,Married,2019
Walid Mahmoud,Port Said,72394,Public Relations and Advertising,27,Married,2019
Magdy Zaki,Ismailia,110793,Law,31,Single,2019
Mohsen Hassan,Minya,111395,Nursing,36,Married,2019
Mohamed Salah,Cairo,42768,Engineering,23,Married,2019
Hoda Mahmoud,Mansoura,105811,Education,52,Married,2019
Emad El-Khouly,Giza,41417,Agriculture,29,Married,2019
Marwa Emam,Tanta,,Education,26,Divorced,2019
Wafaa Adel,Giza,86307,Economics and Political Science,47,Widowed,2019
Hend Salah,Alexandria,66655,Education,51,Married,2019
Nour Nour,Alexandria,,Public Relations and Advertising,43,Divorced,2019
Omar Sami,Alexandria,89711,Architecture,26,Widowed,2019
Youssef Abdullah,Suez,29665,Tourism Studies,35,Single,2019
Youssef Fahmy,Tanta,105465,Environmental Agriculture,29,Widowed,2019
Mariam Ahmed,Aswan,,Economics and Political Science,53,Divorced,2019
Magdy Hassanein,Asyut,114613,Commerce,35,Married,2019
Mamdouh Osman,Tanta,144256,Civil Aviation,56,Widowed,2019
Mamdouh Abdelhak,Tanta,38168,Medicine,28,Widowed,2019
Sherif El-Gabry,Sohag,21451,Commerce,39,Single,2019
Rania Salah,Port Said,51656,Education,60,Single,2019
Yasser Zaki,Beni Suef,65300,Environmental Agriculture,46,Widowed,2019
Khaled Zaki,Tanta,85118,Education,54,Widowed,2019
Magdy Mohsen,Zagazig,43722,Nursing,42,Single,2019
Amir El-Din,Zagazig,,Pharmacy,60,Divorced,2019
Wafaa Mansour,Qena,58724,Medicine,60,Married,2019
Khaled El-Sayed,Beni Suef,79181,Arts,24,Single,2019
Mamdouh El-Sayed,Giza,123994,Tourism Studies,53,Single,2019
Hanan Fathy,Minya,32261,Fine Arts,51,Single,2019
Sherif Saeed,Cairo,115003,Commerce,59,Married,2019
Hassan Adel,Tanta,110068,Science,31,Married,2019
Samir Salah,Mansoura,143686,Architecture,33,Single,2019
Tamer El-Gabry,Beni Suef,,Environmental Agriculture,60,Divorced,2019
Maher Khalid,Damietta,2451,Engineering,21,Single,2019
Laila Nour,Aswan,16857,Public Relations and Advertising,58,Single,2019
Mervat El-Sayed,Port Said,69902,Medicine,34,Married,2019
Ahmed Moharram,Tanta,,Applied Sciences,35,Divorced,2019
Yasser Mansour,Cairo,101697,Public Relations and Advertising,22,Widowed,2019
Khaled Saad,Shubra El Kheima,3416,Science,33,Single,2019
Mamdouh Mohsen,Sohag,104096,Arts,59,Widowed,2019
Reem Emam,Qena,30479,Computer Science and Information Technology,47,Widowed,2020
Rania Fawzy,Shubra El Kheima,89334,Law,29,Widowed,2020
Adel Abdelaziz,Alexandria,,Economics and Political Science,28,Divorced,2020
Nour Salah,Kafr El Sheikh,2546,Economics and Political Science,57,Married,2020
Hoda Mohsen,Suez,36271,Economics and Political Science,31,Single,2020
Mervat Ragab,Suez,93252,Nursing,57,Widowed,2020
Nagla Saad,Ismailia,,Engineering,58,Divorced,2020
Maher Sami,Ismailia,,Arts,44,Divorced,2020
Yasser Salah,Asyut,112769,Applied Sciences,21,Single,2020
Eman Fahmy,Port Said,146605,Agriculture,56,Widowed,2020
Yasmin Fathy,Zagazig,,Pharmacy,47,Divorced,2020
Salma Fathy,Sohag,37537,Environmental Agriculture,22,Single,2020
Mohsen Emam,Beni Suef,,Fine Arts,25,Divorced,2020
Hany Saeed,Cairo,57849,Pharmacy,40,Single,2020
Magdy Fahmy,Mansoura,,Tourism Studies,50,Divorced,2020
Adel Mahmoud,Luxor,,Medicine,39,Divorced,2020
Wafaa El-Khouly,Assiut,59078,Commerce,42,Single,2020
Nagla Soltan,Port Said,53268,Fine Arts,24,Married,2020
Wafaa Mustafa,Port Said,22783,Economics and Political Science,44,Widowed,2020
Hoda Zaki,Cairo,39507,Tourism Studies,30,Married,2020
Magdy Sami,Assiut,,Public Relations and Advertising,45,Divorced,2020
Marwa Nour,Assiut,28492,Psychology,24,Widowed,2020
Eman Mohammed,Shubra El Kheima,143542,Nursing,23,Widowed,2020
Mohsen Moharram,Sohag,12545,Public Relations and Advertising,25,Widowed,2020
Nadia Nour,Qena,21530,Medicine,53,Widowed,2020
Yasser Nour,Mansoura,,Psychology,54,Divorced,2020
Hend Ibrahim,Asyut,,Tourism Studies,25,Divorced,2020
Reem Ali,Port Said,,Applied Sciences,27,Divorced,2020
Nermine Mohsen,Port Said,34469,Nursing,28,Widowed,2020
Tamer Nasr,Port Said,57681,Nursing,29,Widowed,2020
Mona Mahmoudi,Qena,81618,Science,42,Single,2020
Marwa Fathy,Luxor,115130,Tourism Studies,27,Married,2020
Nour Ahmed,Zagazig,33842,Civil Aviation,44,Widowed,2020
Emad El-Gabry,Cairo,66832,Law,22,Widowed,2020
Yasser El-Bakry,Assiut,,Nursing,42,Divorced,2020
Amir El-Khouly,Suez,23549,Agriculture,60,Widowed,2020
Sherif Sami,Assiut,9118,Tourism Studies,47,Single,2020
Nagla Khalid,Alexandria,109608,Fine Arts,36,Single,2020
Mervat Hassan,Qena,76689,Science,27,Married,2020
Asmaa Ahmed,Mansoura,,Education,31,Divorced,2020
Adham El-Sayed,Giza,,Science,54,Divorced,2020
Wafaa Abdullah,Asyut,,Commerce,55,Divorced,2020
Samir Saeed,Mansoura,102923,Law,56,Married,2020
Sherif Mahmoud,Zagazig,86146,Fine Arts,49,Widowed,2020
Amir Ezzat,Sohag,20468,Civil Aviation,46,Single,2020
Adel El-Gabry,Asyut,109403,Civil Aviation,50,Widowed,2020
Emad Adel,Giza,,Economics and Political Science,41,Divorced,2020
Hassan Moharram,Suez,89249,Civil Aviation,44,Widowed,2020
Mohsen Amin,Ismailia,,Tourism Studies,21,Divorced,2020
Mohamed Mohammed,Damietta,70156,Nursing,27,Single,2020
Mervat El-Sayed,Port Said,,Commerce,51,Divorced,2020
Sara Youssef,Tanta,90648,Nursing,27,Single,2020
Khaled El-Gabry,Asyut,43429,Psychology,57,Single,2020
Nour Ramadan,Ismailia,,Economics and Political Science,48,Divorced,2020
Mariam Salah,Damietta,97791,Fine Arts,42,Married,2020
Sara Hassanein,Kafr El Sheikh,10324,Arts,26,Widowed,2020
Eman Mohammed,Tanta,,Architecture,24,Divorced,2020
Laila Osman,Qena,14625,Science,56,Single,2020
Laila Salem,Giza,123698,Engineering,46,Married,2020
Tamer Hassan,Shubra El Kheima,117707,Tourism Studies,22,Single,2020
Nermine Abdullah,Assiut,,Arts,23,Divorced,2020
Walid Gamal,Minya,65531,Computer Science and Information Technology,44,Married,2020
Sara Ahmed,Asyut,65541,Science,51,Widowed,2020
Samir Ramadan,Assiut,53364,Pharmacy,33,Single,2020
Mohsen Mahmoudi,Beni Suef,56311,Architecture,36,Single,2020
Soha Mahmoudi,Tanta,28675,Arts,32,Widowed,2020
Nagla Ramadan,Beni Suef,46204,Computer Science and Information Technology,36,Married,2020
Wafaa Fahmy,Damietta,129903,Fine Arts,36,Single,2020
Omar Abdelaziz,Aswan,28000,Arts,38,Single,2020
Ahmed Sami,Aswan,17953,Civil Aviation,54,Single,2020
Fatma Abdelhak,Qena,91594,Nursing,59,Widowed,2020
Khaled Ramadan,Zagazig,23669,Architecture,30,Married,2020
Hoda Ezzat,Minya,,Psychology,39,Divorced,2020
Mohsen El-Bakry,Beni Suef,,Architecture,54,Divorced,2020
Mervat Ramadan,Sohag,144567,Fine Arts,43,Single,2020
Reem Youssef,Aswan,,Applied Sciences,48,Divorced,2020
Emad Mahmoudi,Shubra El Kheima,,Nursing,43,Divorced,2020
Nour Nasr,Qena,149618,Public Relations and Advertising,33,Married,2020
Maher Nasr,Asyut,140321,Pharmacy,21,Married,2020
Wafaa Mahmoudi,Cairo,117885,Public Relations and Advertising,54,Single,2020
Amir Fawzy,Zagazig,22484,Fine Arts,49,Widowed,2020
Emad Zaki,Beni Suef,14090,Nursing,54,Married,2020
Youssef El-Bakry,Port Said,143224,Nursing,47,Single,2020
Nermine Salah,Sohag,22972,Science,32,Married,2020
Yasmin El-Gabry,Asyut,7957,Psychology,54,Widowed,2020
Omar Hassanein,Luxor,,Commerce,46,Divorced,2020
Hassan Fahmy,Kafr El Sheikh,140496,Civil Aviation,48,Single,2020
Mona Saeed,Zagazig,36840,Agriculture,43,Single,2020
Adel Mahmoudi,Tanta,,Public Relations and Advertising,33,Divorced,2020
Ashraf Ibrahim,Zagazig,22691,Applied Sciences,42,Married,2020
Amir Mahmoud,Assiut,26435,Applied Sciences,60,Widowed,2020
Hoda Ezzat,Ismailia,,Tourism Studies,35,Divorced,2020
Laila El-Gabry,Aswan,105866,Public Relations and Advertising,59,Single,2020
Sherif Hassanein,Shubra El Kheima,,Engineering,31,Divorced,2020
Omar Khalid,Ismailia,69478,Commerce,36,Single,2020
Ali El-Khouly,Beni Suef,86797,Computer Science and Information Technology,55,Single,2020
Ahmed Ragab,Luxor,109132,Public Relations and Advertising,60,Widowed,2020
Rania Khalid,Luxor,137194,Architecture,42,Widowed,2020
Nagla Ragab,Minya,148459,Applied Sciences,42,Widowed,2020
Yasmin Mustafa,Port Said,36512,Architecture,33,Widowed,2020
Soha Khalid,Mansoura,,Engineering,21,Divorced,2020
Asmaa Salem,Giza,30602,Law,54,Single,2020
Hassan Sami,Zagazig,,Commerce,27,Divorced,2020
Laila Ahmed,Tanta,59748,Tourism Studies,56,Widowed,2020
Mohamed Ramadan,Giza,141927,Economics and Political Science,56,Married,2020
Laila Khalid,Giza,50589,Psychology,35,Widowed,2020
Wafaa Ibrahim,Beni Suef,47963,Pharmacy,48,Single,2020
Rania Ibrahim,Beni Suef,102192,Fine Arts,52,Married,2020
Samir Ali,Luxor,,Computer Science and Information Technology,36,Divorced,2020
Hany Mahmoudi,Luxor,67082,Nursing,28,Married,2020
Salma Osman,Damietta,,Tourism Studies,29,Divorced,2020
Adel El-Khouly,Beni Suef,124560,Public Relations and Advertising,51,Single,2020
Yasmin El-Sayed,Qena,71093,Education,58,Married,2020
Hoda El-Gabry,Asyut,,Law,21,Divorced,2020
Ashraf Mustafa,Assiut,98851,Environmental Agriculture,35,Married,2020
Hassan El-Gabry,Asyut,140174,Education,53,Widowed,2020
Mohamed Mahmoudi,Minya,88517,Computer Science and Information Technology,49,Widowed,2020
Hassan Fawzy,Kafr El Sheikh,86036,Architecture,30,Single,2020
Mohsen Zaki,Aswan,17565,Agriculture,42,Single,2020
Mamdouh Sami,Zagazig,5741,Fine Arts,32,Married,2020
Rania Gamal,Alexandria,76747,Architecture,54,Married,2020
Khaled El-Khouly,Alexandria,123502,Computer Science and Information Technology,32,Married,2020
Eman Mohsen,Zagazig,42058,Economics and Political Science,30,Married,2020
Omar Mansour,Assiut,,Arts,56,Divorced,2020
Mervat Amin,Qena,145886,Civil Aviation,52,Single,2020
Fatma Hassan,Aswan,,Tourism Studies,43,Divorced,2020
Salma Ibrahim,Kafr El Sheikh,21195,Environmental Agriculture,41,Single,2020
Mervat Mohsen,Kafr El Sheikh,144583,Medicine,34,Single,2020
Khaled Emam,Suez,16516,Fine Arts,55,Married,2020
Omar Sami,Beni Suef,12049,Agriculture,51,Married,2020
Mariam Fouad,Aswan,37237,Fine Arts,59,Married,2020
Ahmed El-Din,Tanta,,Environmental Agriculture,54,Divorced,2020
Mariam El-Sayed,Luxor,140274,Fine Arts,58,Single,2020
Mona Ezzat,Assiut,94008,Fine Arts,50,Widowed,2020
Hanan Youssef,Kafr El Sheikh,116112,Tourism Studies,44,Widowed,2020
Samir Khalid,Zagazig,118282,Public Relations and Advertising,51,Single,2020
Youssef Saad,Tanta,,Arts,23,Divorced,2020
Hend Salah,Qena,143674,Applied Sciences,25,Widowed,2020
Mohsen Mahmoudi,Sohag,138122,Environmental Agriculture,34,Single,2020
Marwa Hassan,Shubra El Kheima,,Economics and Political Science,53,Divorced,2020
Nour Osman,Ismailia,,Pharmacy,33,Divorced,2020
Mona Moharram,Suez,88871,Nursing,38,Single,2020
Hoda Mansour,Assiut,50817,Fine Arts,28,Single,2020
Tamer Amin,Damietta,33409,Medicine,58,Single,2020
Sherif El-Bakry,Alexandria,,Environmental Agriculture,59,Divorced,2020
Hend Saeed,Mansoura,41057,Arts,31,Widowed,2020
Hend Mohsen,Asyut,111658,Science,48,Widowed,2020
Mervat Fouad,Giza,24946,Civil Aviation,38,Widowed,2020
Nour Abdelaziz,Ismailia,75188,Public Relations and Advertising,51,Single,2020
Yasser Fathy,Suez,,Pharmacy,55,Divorced,2020
Hany Youssef,Assiut,102211,Engineering,38,Widowed,2020
Mona Salah,Damietta,132312,Fine Arts,49,Married,2020
Tamer Ahmed,Port Said,,Public Relations and Advertising,53,Divorced,2020
Yasser Moharram,Beni Suef,15203,Computer Science and Information Technology,31,Married,2020
Khaled Fouad,Minya,24822,Public Relations and Advertising,52,Widowed,2020
Hend Sami,Qena,142392,Pharmacy,27,Widowed,2020
Mohsen Ramadan,Zagazig,119063,Psychology,42,Single,2020
Hoda Abdullah,Zagazig,144653,Commerce,47,Widowed,2020
Emad Nasr,Mansoura,45954,Psychology,38,Widowed,2020
Walid Mansour,Shubra El Kheima,,Agriculture,58,Divorced,2020
Mariam Mansour,Suez,78331,Agriculture,45,Widowed,2020
Youssef El-Bakry,Qena,44743,Agriculture,54,Married,2020
Youssef Soltan,Tanta,,Education,23,Divorced,2020
Nagla Abdullah,Aswan,26813,Law,51,Married,2020
Ahmed Nour,Suez,76738,Agriculture,28,Married,2020
Hanan Abdelaziz,Asyut,36797,Pharmacy,41,Married,2020
Tamer Sami,Asyut,,Economics and Political Science,57,Divorced,2020
Asmaa Nour,Giza,93115,Commerce,35,Married,2020
Reem Youssef,Giza,,Economics and Political Science,49,Divorced,2020
Kamal Mustafa,Beni Suef,76910,Civil Aviation,36,Widowed,2020
Omar El-Sayed,Minya,59776,Medicine,58,Married,2020
Nour Mahmoud,Mansoura,59373,Medicine,50,Widowed,2020
Yasmin Fouad,Sohag,137508,Education,25,Married,2020
Walid Saber,Cairo,,Medicine,53,Divorced,2020
Asmaa Fouad,Luxor,25381,Nursing,43,Widowed,2020
Mona Soltan,Giza,104949,Computer Science and Information Technology,47,Widowed,2020
Ahmed Fouad,Zagazig,,Education,48,Divorced,2020
Mohamed Fahmy,Cairo,56506,Architecture,46,Widowed,2020
Yasser Moharram,Suez,4667,Fine Arts,49,Married,2020
Hanan Salem,Damietta,75514,Fine Arts,54,Single,2020
Sherif Ahmed,Assiut,,Public Relations and Advertising,58,Divorced,2020
Hend Saeed,Mansoura,,Commerce,55,Divorced,2020
Nadia Nasr,Luxor,108049,Applied Sciences,36,Single,2020
Nermine Mohammed,Mansoura,130006,Arts,41,Married,2020
Nour Mahmoud,Asyut,13401,Fine Arts,21,Widowed,2020
Reem Salem,Kafr El Sheikh,114946,Commerce,28,Widowed,2020
Yasser Fouad,Qena,,Education,55,Divorced,2020
Mohamed Moharram,Assiut,101784,Science,22,Single,2020
Hanan Ali,Tanta,133752,Medicine,32,Married,2020
Mohsen Fahmy,Sohag,,Agriculture,26,Divorced,2020
Ali El-Bakry,Zagazig,101547,Commerce,29,Single,2020
Ali Nasr,Alexandria,78687,Public Relations and Advertising,24,Single,2020
Walid Nour,Giza,86569,Engineering,48,Married,2020
Khaled Khalid,Ismailia,,Architecture,42,Divorced,2020
Salma Nour,Qena,116945,Arts,35,Married,2020
Omar Zaki,Cairo,77187,Science,47,Married,2020
Mohamed El-Din,Mansoura,23326,Engineering,41,Single,2020
Kamal Saber,Mansoura,110393,Economics and Political Science,50,Widowed,2020
Yasser Ezzat,Beni Suef,101286,Pharmacy,57,Single,2020
Sara Gamal,Sohag,135305,Civil Aviation,47,Widowed,2020
Adel Sami,Mansoura,119081,Law,40,Single,2020
Adel El-Gabry,Giza,140623,Law,27,Widowed,2020
Reem Sami,Aswan,83505,Environmental Agriculture,24,Widowed,2020
Soha Saeed,Port Said,88552,Psychology,33,Widowed,2020
Hany Soltan,Shubra El Kheima,88295,Nursing,25,Single,2020
Eman Mustafa,Shubra El Kheima,,Computer Science and Information Technology,41,Divorced,2020
Salma Ibrahim,Shubra El Kheima,9126,Agriculture,36,Married,2020
Wafaa Fahmy,Port Said,,Computer Science and Information Technology,31,Divorced,2020
Khaled Fawzy,Giza,,Civil Aviation,54,Divorced,2020
Yasmin Ramadan,Giza,148810,Tourism Studies,24,Married,2020
Marwa Abdullah,Mansoura,137300,Economics and Political Science,41,Widowed,2020
Mervat Fathy,Alexandria,87810,Medicine,24,Married,2020
Adel El-Din,Beni Suef,101144,Applied Sciences,40,Widowed,2020
Marwa Ibrahim,Alexandria,18320,Civil Aviation,59,Married,2020
Hend El-Khouly,Luxor,56817,Commerce,21,Widowed,2020
Rania Ragab,Aswan,,Computer Science and Information Technology,57,Divorced,2020
Hend Mustafa,Luxor,,Arts,54,Divorced,2020
Hassan Fawzy,Mansoura,,Economics and Political Science,55,Divorced,2020
Mervat Ali,Cairo,,Arts,25,Divorced,2020
Omar Youssef,Suez,128909,Tourism Studies,42,Single,2020
Adham Saber,Luxor,46445,Psychology,56,Single,2020
Nadia Saeed,Asyut,114628,Architecture,58,Single,2020
Adham Saad,Alexandria,,Computer Science and Information Technology,30,Divorced,2020
Omar Nour,Damietta,135315,Commerce,34,Married,2020
Ali Fahmy,Minya,43270,Pharmacy,39,Single,2020
Mervat Fathy,Asyut,68948,Architecture,57,Married,2020
Omar Abdullah,Alexandria,122418,Applied Sciences,21,Widowed,2020
Marwa Hassan,Sohag,35687,Nursing,48,Single,2020
Wafaa Hassan,Assiut,,Engineering,36,Divorced,2020
Youssef Ibrahim,Asyut,6893,Environmental Agriculture,51,Widowed,2020
Laila Gamal,Qena,7092,Applied Sciences,53,Widowed,2020
Hanan El-Din,Shubra El Kheima,145288,Science,60,Married,2020
Ashraf Osman,Zagazig,,Arts,21,Divorced,2020
Ali Osman,Damietta,,Arts,35,Divorced,2020
Khaled Mostafa,Kafr El Sheikh,40076,Education,37,Single,2020
Adel El-Khouly,Alexandria,97650,Psychology,43,Single,2020
Mariam Adel,Cairo,75358,Nursing,31,Married,2020
Emad Fathy,Shubra El Kheima,,Fine Arts,39,Divorced,2020
Mohamed Nasr,Minya,,Tourism Studies,31,Divorced,2020
Nadia Mohsen,Luxor,109427,Commerce,48,Single,2020
Hassan Mahmoud,Shubra El Kheima,73014,Fine Arts,60,Single,2020
Wafaa Ezzat,Luxor,111261,Fine Arts,28,Widowed,2020
Eman El-Sayed,Damietta,136969,Law,35,Married,2020
Kamal Ahmed,Zagazig,,Agriculture,35,Divorced,2020
Maher Mostafa,Cairo,118688,Science,23,Single,2020
Emad Ezzat,Kafr El Sheikh,43724,Psychology,28,Single,2020
Amir Hassanein,Tanta,12829,Economics and Political Science,28,Widowed,2020
Rania Ali,Ismailia,98748,Agriculture,41,Married,2020
Marwa El-Khouly,Qena,38772,Commerce,22,Single,2020
Hanan Adel,Damietta,,Tourism Studies,21,Divorced,2020
Wafaa Saber,Shubra El Kheima,,Public Relations and Advertising,33,Divorced,2020
Asmaa Mohammed,Cairo,38266,Civil Aviation,55,Married,2020
Soha El-Gabry,Luxor,,Nursing,53,Divorced,2020
Mona Ramadan,Suez,68792,Medicine,44,Married,2020
Mamdouh Amin,Tanta,31723,Architecture,49,Married,2020
Ahmed Ali,Beni Suef,117041,Fine Arts,52,Single,2020
Khaled Ahmed,Luxor,,Environmental Agriculture,28,Divorced,2020
Ali Fathy,Assiut,,Medicine,52,Divorced,2020
Mohamed Fahmy,Port Said,,Law,21,Divorced,2020
Ali El-Bakry,Alexandria,83989,Environmental Agriculture,35,Married,2020
Hend Fathy,Mansoura,131978,Economics and Political Science,56,Widowed,2020
Adel Ramadan,Sohag,,Economics and Political Science,23,Divorced,2020
Hanan Ezzat,Qena,,Tourism Studies,43,Divorced,2020
Eman Fahmy,Luxor,36276,Civil Aviation,43,Widowed,2020
Amir El-Gabry,Aswan,135265,Civil Aviation,39,Widowed,2020
Maher Fahmy,Assiut,13066,Commerce,41,Widowed,2020
Hend Hassanein,Qena,135269,Nursing,56,Divorced,2020
Reem Fawzy,Zagazig,87200,Engineering,23,Single,2020
Mohamed Fawzy,Zagazig,110477,Arts,36,Widowed,2020
Mohamed Ahmed,Beni Suef,55704,Pharmacy,40,Married,2020
Walid Hassanein,Cairo,75420,Medicine,24,Single,2020
Asmaa Salem,Damietta,55383,Environmental Agriculture,33,Widowed,2020
Soha El-Khouly,Mansoura,101863,Pharmacy,32,Divorced,2020
Mamdouh El-Sayed,Shubra El Kheima,105901,Public Relations and Advertising,58,Married,2020
Ahmed Salah,Giza,130968,Engineering,28,Married,2020
Walid Osman,Luxor,102147,Science,50,Single,2020
Youssef Adel,Aswan,106967,Arts,54,Divorced,2020
Hend Hassanein,Sohag,49454,Education,60,Married,2020
Adham Youssef,Giza,91438,Law,33,Single,2020
Tamer Abdelhak,Shubra El Kheima,86859,Architecture,36,Widowed,2020
Khaled Moharram,Giza,117040,Civil Aviation,47,Single,2020
Fatma Ezzat,Sohag,75794,Pharmacy,30,Divorced,2020
Adham Ibrahim,Qena,78976,Nursing,52,Widowed,2020
Kamal Nasr,Minya,103530,Computer Science and Information Technology,54,Divorced,2020
Mervat Mostafa,Cairo,105005,Civil Aviation,22,Divorced,2020
Soha Ahmed,Zagazig,93442,Economics and Political Science,46,Single,2020
Hoda Youssef,Assiut,104775,Agriculture,55,Widowed,2020
Soha Hassan,Kafr El Sheikh,132878,Engineering,27,Married,2020
Emad El-Din,Aswan,138502,Agriculture,49,Married,2020
Mariam Saad,Tanta,89261,Tourism Studies,23,Divorced,2020
Mariam Ibrahim,Assiut,70178,Fine Arts,44,Widowed,2020
Sara Khalid,Beni Suef,97692,Engineering,60,Married,2020
Hassan Ragab,Kafr El Sheikh,70425,Fine Arts,47,Single,2020
Amir Fahmy,Beni Suef,41269,Environmental Agriculture,21,Single,2020
Nadia Ahmed,Damietta,113143,Tourism Studies,60,Married,2020
Salma Mostafa,Qena,96147,Computer Science and Information Technology,23,Widowed,2020
Nagla Ragab,Giza,51693,Law,38,Widowed,2020
Ahmed Mohammed,Alexandria,102826,Public Relations and Advertising,45,Single,2020
Asmaa Hassan,Ismailia,24910,Architecture,39,Divorced,2020
Hoda Mohsen,Sohag,87788,Tourism Studies,23,Widowed,2020
Fatma Ali,Alexandria,76349,Architecture,57,Single,2020
Nadia Zaki,Damietta,113238,Computer Science and Information Technology,58,Widowed,2020
Tamer Abdelaziz,Tanta,,Nursing,49,Divorced,2020
Salma Nasr,Minya,68276,Psychology,55,Married,2020
Nermine Nasr,Ismailia,98326,Pharmacy,30,Widowed,2020
Reem Ragab,Minya,22529,Applied Sciences,57,Widowed,2020
Fatma Saber,Sohag,129519,Fine Arts,33,Married,2020
Soha Mustafa,Kafr El Sheikh,,Tourism Studies,24,Divorced,2020
Mohsen Saeed,Damietta,116710,Science,49,Widowed,2020
Magdy Hassanein,Kafr El Sheikh,149813,Applied Sciences,30,Widowed,2020
Yasser Abdelhak,Mansoura,18402,Commerce,46,Single,2020
Magdy Ahmed,Qena,110400,Civil Aviation,50,Widowed,2020
Mamdouh Ramadan,Assiut,39148,Education,21,Married,2020
Mohsen Zaki,Damietta,99313,Agriculture,37,Widowed,2020
Adel Abdelaziz,Zagazig,144047,Engineering,37,Widowed,2020
Mona Ezzat,Zagazig,123012,Commerce,29,Married,2020
Rania Youssef,Shubra El Kheima,27124,Nursing,21,Widowed,2020
Nermine Emam,Assiut,,Commerce,60,Divorced,2020
Mona Hassanein,Tanta,144919,Law,59,Single,2020
Khaled El-Din,Tanta,28875,Economics and Political Science,53,Married,2020
Maher Nour,Assiut,,Tourism Studies,57,Divorced,2020
Asmaa Moharram,Mansoura,118961,Agriculture,47,Single,2020
Ali Ibrahim,Asyut,40609,Applied Sciences,50,Married,2020
Reem Mahmoudi,Luxor,20091,Law,55,Married,2020
Adham Fathy,Sohag,127882,Public Relations and Advertising,25,Widowed,2020
Hassan Ezzat,Luxor,13780,Commerce,40,Single,2020
Tamer Mahmoud,Sohag,72174,Civil Aviation,48,Single,2020
Mamdouh Osman,Alexandria,,Agriculture,29,Divorced,2020
Ashraf Ali,Port Said,57848,Tourism Studies,30,Married,2020
Nagla Saber,Beni Suef,88446,Commerce,59,Married,2020
Mohamed Abdelaziz,Giza,,Agriculture,53,Divorced,2020
Ahmed Mansour,Assiut,89483,Agriculture,43,Married,2020
Nadia Abdelhak,Luxor,,Education,44,Divorced,2020
Ali Mustafa,Sohag,,Pharmacy,33,Divorced,2020
Emad Mahmoudi,Kafr El Sheikh,10307,Pharmacy,52,Married,2020
Sherif Salah,Assiut,,Engineering,31,Divorced,2020
Sara Osman,Tanta,,Commerce,55,Divorced,2020
Ahmed Hassanein,Damietta,58207,Agriculture,21,Widowed,2020
